"rating","price","rq","ju","vo","wa","kr","education","gender","income","age"
8,50.8721,1,0,0,0,0,1,1,1,21
20,21.8023,0,0,1,0,0,1,1,1,21
10,35.6105,0,0,1,0,0,1,1,1,21
15,49.4186,0,0,1,0,0,1,1,1,21
8,21.0756,0,1,0,0,0,1,1,1,21
4,36.3372,0,1,0,0,0,1,1,1,21
1,49.4186,0,1,0,0,0,1,1,1,21
20,21.0756,0,0,0,1,0,1,1,1,21
12,34.8837,0,0,0,1,0,1,1,1,21
4,50.8721,0,0,0,1,0,1,1,1,21
20,20.3488,0,0,0,0,1,1,1,1,21
8,35.6105,0,0,0,0,1,1,1,1,21
4,50.8721,0,0,0,0,1,1,1,1,21
20,20.3488,1,0,0,0,0,0,1,0,58
14,35.6105,1,0,0,0,0,0,1,0,58
1,50.8721,1,0,0,0,0,0,1,0,58
20,21.8023,0,0,1,0,0,0,1,0,58
14,35.6105,0,0,1,0,0,0,1,0,58
1,49.4186,0,0,1,0,0,0,1,0,58
20,21.0756,0,1,0,0,0,0,1,0,58
10,36.3372,0,1,0,0,0,0,1,0,58
1,49.4186,0,1,0,0,0,0,1,0,58
17,21.0756,0,0,0,1,0,0,1,0,58
12,34.8837,0,0,0,1,0,0,1,0,58
1,50.8721,0,0,0,1,0,0,1,0,58
17,20.3488,0,0,0,0,1,0,1,0,58
12,35.6105,0,0,0,0,1,0,1,0,58
1,50.8721,0,0,0,0,1,0,1,0,58
20,20.3488,1,0,0,0,0,1,0,1,21
17,35.6105,1,0,0,0,0,1,0,1,21
1,50.8721,1,0,0,0,0,1,0,1,21
20,21.8023,0,0,1,0,0,1,0,1,21
16,35.6105,0,0,1,0,0,1,0,1,21
1,49.4186,0,0,1,0,0,1,0,1,21
20,21.0756,0,1,0,0,0,1,0,1,21
17,36.3372,0,1,0,0,0,1,0,1,21
1,49.4186,0,1,0,0,0,1,0,1,21
20,21.0756,0,0,0,1,0,1,0,1,21
17,34.8837,0,0,0,1,0,1,0,1,21
1,50.8721,0,0,0,1,0,1,0,1,21
20,20.3488,0,0,0,0,1,1,0,1,21
