"P_ATX","P_BAV","P_CAV","P_EAS","P_JUB","P_LEN","P_LKM","P_STE","P_UNI","P_VEI","P_WIE","WBK"
1184.64,519,679,4137,9059,1530,485,378,2850,737,5690,554.94
1175.19,541,673,4066,9049,1515,486,390,2870,750,5651,556.66
1156.11,537,646,4013,9318,1492,452,398,2770,745,5525,552.86
1186.21,552,640,4287,9577,1500,476,412,2820,792,5573,563.35
1177.8,537,636,4137,11150,1507,483,412,2850,765,5525,560.24
1183.32,580,614,4110,12394,1510,476,408,2870,780,5612,558.03
1194.38,572,612,4031,11344,1510,475,404,2870,807,5641,566.13
1247.18,562,681,4172,11249,1600,503,409,2930,820,5990,585.37
1257.96,568,690,4154,11160,1601,491,420,3180,855,6107,596.05
1221.21,572,658,3935,10732,1525,515,427,3040,780,5922,579.61
1220.01,559,690,3964,10453,1522,497,423,2950,750,5961,583.01
1190.73,550,692,3889,9806,1506,480,405,2810,685,5864,575.65
1189.65,566,700,3805,10085,1505,469,402,2770,695,5920,571.35
1171.97,608,689,3686,9736,1480,470,400,2670,680,5700,566.68
1170.21,599,689,3730,9830,1490,458,397,2810,665,5640,566.6
1228.05,603,770,4004,9950,1513,482,412,2860,706,5810,585.38
1211.29,606,741,3917,9950,1514,464,407,2650,729,5805,584.19
1197.25,608,734,3836,9800,1501,460,404,2590,694,5780,572.83
1176.55,602,703,3675,9940,1500,463,413,2596,670,5751,564.5
1126.87,573,666,3712,9500,1440,466,390,2417,621,5419,543.82
1145.77,558,687,3748,9495,1450,463,406,2485,638,5490,546.26
1146.72,563,678,3880,9610,1465,461,397,2340,621,5630,550.58
1102.92,567,611,3531,9600,1429,470,385,2285,574,5470,533.61
1099.54,585,616,3495,9600,1386,475,368,2320,564,5360,528.88
1091.62,543,596,3474,9690,1370,475,371,2325,557,5300,522.48
1078.82,520,581,3404,9700,1360,473,364,2090,520,5335,513.04
966.86,473,497,3041,8100,1194,425,305,1700,449,4600,464.56
1096.82,550,571,3447,9600,1275,493,357,2120,527,5380,520.78
1116.99,557,557,3469,10350,1260,512,351,2070,525,5495,523.77
1144.27,573,605,3660,10000,1261,512,363,2070,538,5715,531.87
1116.89,562,581,3530,10100,1219,495,354,1940,506,5610,516.44
1095.33,554,549,3460,10030,1165,490,348,1950,451,5490,508.04
1094.3,568,530,3250,10150,1198,492,350,1950,469,5615,504.24
1041.43,542,499,3130,9860,1146,465,321,1780,399,5366,482.07
985.93,446,500,3040,9870,1120,415,307,1405,340,5050,458.81
1005.93,469,497,3130,9900,1130,418,313,1445,388,5030,461
953.27,435,468,3070,10000,998,399,276,1290,331,4729,438
949.69,405,476,3100,9800,1019,398,248,1330,352,4598,433.65
1011.269,448,493,3270,9800,1110,428,276,1550,387,5010,458.16
997.95,445,481,3230,9900,1153,410,263,1470,364,4956,455.44
994.73,459,464,3140,9870,1205,409,270,1495,379,4920,452.28
961.98,476,438,3015,9900,1185,397,243,1420,350,4760,443.82
918.17,465,417,2840,9890,1148,384,235,1082,290,4425,426.28
926.64,469,423,2910,9870,1175,373,237,1105,306,4395,426.7
926.64,469,423,2910,9870,1175,373,237,1105,306,4395,426.7
926.64,469,423,2910,9870,1175,373,237,1105,306,4395,426.7
922.4,487,425,2950,9900,1027,360,233,1036,278,4410,426.88
937.7,476,435,3070,9950,975,350,239,1010,282,4455,431.45
963,500,445,3245,9950,991,360,250,1020,298,4573,440.32
985,495,476,3335,9970,1039,362,270,1030,316,4720,446.8
1009.2,500,477,3330,10000,1093,392,275,1250,352,4855,459.72
1031.17,519,489,3445,10000,1096,413,291,1245,388,4975,468.65
1083.85,537,532,3675,10000,1155,445,295,1405,444,5200,489.6
1094.01,523,561,3830,12300,1154,466,263,1405,436,5210,497.03
1079.8,516,555,3800,11750,1137,440,256,1380,421,5155,487.19
1038.49,512,531,3770,11200,1093,400,241,1275,394,4945,474.65
1040.63,508,544,3800,11550,1065,395,254,1295,397,4930,474.99
